ï»¿route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
10-141-C-j21-2,24,141,,3,8000ff,FFFFFF
10-141-C-s21-2,24,141,,3,8000ff,FFFFFF
10-142-C-j21-1,24,142,,3,8000ff,FFFFFF
10-142-C-j21-2,24,142,,3,8000ff,FFFFFF
10-142-C-j21-3,24,142,,3,8000ff,FFFFFF
10-142-C-s21-1,24,142,,3,8000ff,FFFFFF
10-142-C-s21-3,24,142,,3,8000ff,FFFFFF
10-143-C-j21-1,24,143,,3,8000ff,FFFFFF
10-143-C-s21-1,24,143,,3,8000ff,FFFFFF
10-143-C-s21-2,24,143,,3,8000ff,FFFFFF
10-144-C-j21-1,24,144,,3,8000ff,FFFFFF
10-144-C-s21-1,24,144,,3,8000ff,FFFFFF
10-145-C-j21-2,24,145,,3,8000ff,FFFFFF
10-145-C-s21-2,24,145,,3,8000ff,FFFFFF
10-145-C-s21-3,24,145,,3,8000ff,FFFFFF
10-146-C-j21-1,24,146,,3,8000ff,FFFFFF
10-146-C-s21-1,24,146,,3,8000ff,FFFFFF
11-201-C-j21-1,3,201,,3,8000ff,FFFFFF
11-201-C-j21-2,3,201,,3,8000ff,FFFFFF
11-201-C-j21-3,3,201,,3,8000ff,FFFFFF
11-201-C-j21-4,3,201,,3,8000ff,FFFFFF
11-201-C-s21-1,3,201,,3,8000ff,FFFFFF
11-203-C-j21-1,3,203,,3,8000ff,FFFFFF
11-203-C-s21-1,3,203,,3,8000ff,FFFFFF
11-204-C-j21-1,3,204,,3,8000ff,FFFFFF
11-204-C-j21-2,3,204,,3,8000ff,FFFFFF
11-204-C-j21-3,3,204,,3,8000ff,FFFFFF
11-204-C-j21-4,3,204,,3,8000ff,FFFFFF
11-204-C-s21-1,3,204,,3,8000ff,FFFFFF
11-205-C-j21-1,3,205,,3,8000ff,FFFFFF
11-205-C-j21-2,3,205,,3,8000ff,FFFFFF
11-205-C-j21-3,3,205,,3,8000ff,FFFFFF
11-205-C-s21-1,3,205,,3,8000ff,FFFFFF
11-206-C-j21-1,3,206,,3,8000ff,FFFFFF
11-206-C-j21-2,3,206,,3,8000ff,FFFFFF
11-206-C-s21-1,3,206,,3,8000ff,FFFFFF
11-207-C-j21-1,3,207,,3,8000ff,FFFFFF
11-207-C-j21-2,3,207,,3,8000ff,FFFFFF
11-207-C-j21-3,3,207,,3,8000ff,FFFFFF
11-207-C-j21-4,3,207,,3,8000ff,FFFFFF
11-207-C-j21-5,3,207,,3,8000ff,FFFFFF
11-207-C-s21-1,3,207,,3,8000ff,FFFFFF
11-208-C-j21-1,3,208,,3,8000ff,FFFFFF
11-208-C-s21-1,3,208,,3,8000ff,FFFFFF
11-208-C-s21-2,3,208,,3,8000ff,FFFFFF
11-212-C-j21-1,3,212,,3,8000ff,FFFFFF
11-212-C-j21-2,3,212,,3,8000ff,FFFFFF
11-212-C-j21-3,3,212,,3,8000ff,FFFFFF
11-212-C-j21-4,3,212,,3,8000ff,FFFFFF
11-212-C-j21-5,3,212,,3,8000ff,FFFFFF
